AHRI Ref. #,Outdoor Unit Brand Name,Outdoor Unit Series Name,Outdoor Unit Model Number,Indoor Unit Brand Name,Mini/Multi-Split Indoor Unit Type,Indoor Unit Model Number,Furnace Model Number,"Cooling Capacity (95F), btuh (Appendix M1) *",EER2 (95F) (Appendix M1) *,SEER2 (Appendix M1) *,"Cooling Capacity (95F), btuh (Appendix M) *",EER (95F) (Appendix M) *,IEER (95F) (Appendix M) *,SEER (Appendix M) *,"Full-Load Cooling Air Volume Rate, scfm (Appendix M1)","Full-Load Cooling Air Volume Rate, scfm (Appendix M)","Intermediate Cooling Air Volume Rate, scfm (Appendix M)","Minimum Cooling Air Volume Rate, scfm (Appendix M)",Model Status,Manufacturer Type,AHRI Type,Split or Packaged?,Phase,Designated Tested Combination?,Region,Refrigerant Type,Sold In?,CEE Tier,Energy Guide Label,ENERGY STAR ® Certified?,Potential Eligibility for IRA Tax Credit,Is Rerated
215325746,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9C960603BNA*,22800,11.2,13.8,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325747,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9C960603BNA*,22800,11.2,13.8,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325750,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9C800603B*A*,23000,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325751,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9C800603B*A*,23000,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325754,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9S960603BNA*,22800,11.2,13.8,,,,,800,800,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325755,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9S960603BNA*,22800,11.2,13.8,,,,,800,800,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215319932,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9S800403A*A*,22800,11.2,14,,,,,800,800,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215319933,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9S800403A*A*,22800,11.2,14,,,,,800,800,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215271985,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422+EEP,,23200,11.2,13.4,,,,,700,700,,,Active,Systems,RCU-A-C,Split,1,Yes,North,R-32,"USA, Canada",,,No,No,No
215272250,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022+MBVB16CP1X00A*,,23200,11.2,15,,,,,730,730,,,Active,Systems,RCU-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215272251,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422+MBVB16CP1X00A*,,23200,11.2,15,,,,,730,730,,,Active,Systems,RCU-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215272255,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022+MBVB12BP1X00A*,,23400,11.2,14.5,,,,,730,730,,,Active,Systems,RCU-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215272256,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422+MBVB12BP1X00A*,,23400,11.2,14.5,,,,,730,730,,,Active,Systems,RCU-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273397,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960804CNA*,23000,11.2,14.5,,,,,760,760,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273398,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960804CNA*,23000,11.2,14.5,,,,,760,760,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273401,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960803BNA*,23200,11.2,14,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273402,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960803BNA*,23200,11.2,14,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273405,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960603BNA*,23200,11.2,14,,,,,820,820,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273406,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960603BNA*,23200,11.2,14,,,,,820,820,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273408,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960603ANA*,22800,11.2,13.6,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
